,KEY_CODE,predicted_2021,predicted_2022,predicted_2023,predicted_2024
2160,0638205006,223,207,192,206
2161,0638205007,170,137,132,161
2162,0638205008,182,147,141,164
2163,0638205009,250,228,184,223
2164,0638205010,342,291,245,278
2165,0638205011,378,356,276,340
2166,0638205012,361,290,284,324
2167,0638205013,365,252,298,342
2168,0638205014,252,166,221,231
2169,0638205015,174,80,123,163
2170,0638205016,285,210,223,281
2171,0638205017,217,184,173,201
2172,0638206001,720,373,521,691
2173,0638206002,1070,730,779,1028
2174,0638206003,338,268,241,304
2175,0638206004,361,203,195,301
2176,0638206005,355,137,184,293
2177,0638206006,147,80,92,116
2178,0638206007,222,101,125,183
2179,0638206008,524,213,324,466
2180,0638206009,479,179,302,401
2181,0638206010,131,33,58,93
2182,0638206011,390,152,235,338
2183,0640101001,47,45,49,54
2184,0640101002,23,15,12,19
2185,0640101003,6,4,4,4
2186,0640101004,14,15,7,29
2187,0640101005,5,7,3,10
2188,0640101006,21,21,11,32
2189,0640101007,73,81,85,92
2190,0640101008,78,60,64,80
2191,0640101009,45,42,42,50
2192,0640101010,105,49,102,103
2193,0640101011,40,30,47,58
2194,0640101013,58,37,53,73
2195,0640101014,18,18,15,29
2196,0640101015,261,191,257,289
2197,0640101016,13,9,12,18
2198,0640101017,87,71,86,84
2199,0640101018,90,86,96,98
2200,0640101019,53,47,52,68
2201,0640101020,37,20,30,45
2202,0640101021,63,46,62,68
2203,0640101022,91,67,96,87
2204,0640101023,51,36,40,47
2205,0640101024,8,13,8,16
2206,0640102001,46,18,22,42
2207,0640102002,29,27,23,34
2208,0640102003,15,10,2,20
2209,0640102004,18,19,17,34
2210,0640102005,16,13,6,20
2211,0640102006,10,7,9,11
2212,0640102007,27,23,15,37
2213,0640102008,22,11,10,32
2214,0640102009,19,15,19,37
2215,0640102010,24,8,21,56
2216,0640102011,58,8,36,68
2217,0640102012,34,17,26,42
2218,0640103001,54,24,18,49
2219,0640103002,19,16,9,27
2220,0640103003,28,27,44,38
2221,0640103004,31,16,35,41
2222,0640103005,10,14,11,31
2223,0640103006,70,34,79,61
2224,0640103007,32,22,27,35
2225,0640103008,53,26,45,52
2226,0640103009,90,63,94,93
2227,0640103010,23,32,40,40
2228,0640103011,78,64,76,79
2229,0640103012,157,136,181,189
2230,0640104002,1,2,2,2
2231,0640104003,2,1,1,3
2232,0640104004,10,17,4,11
2233,0640104005,12,4,3,11
2234,0640104006,0,0,2,2
2235,0640104007,8,10,2,5
2236,0640104008,32,9,2,15
2237,0640104009,78,22,18,51
2238,0640104010,7,31,24,6
2239,0640104012,16,18,19,16
2240,0640104013,50,39,41,55
2241,0640104014,74,53,52,62
2242,0640201001,54,69,38,67
2243,0640201002,65,81,55,79
2244,0640201003,145,200,151,204
2245,0640201004,83,118,87,127
2246,0640201005,125,150,100,140
2247,0640201006,20,25,18,22
2248,0640201007,92,107,112,117
2249,0640201008,108,130,131,137
2250,0640201009,170,252,183,212
2251,0640201010,53,70,47,63
2252,0640201011,178,238,204,239
2253,0640201012,76,118,87,120
2254,0640201013,141,149,140,185
2255,0640201014,84,97,82,116
2256,0640201015,97,113,72,106
2257,0640201016,69,74,66,84
2258,0640201017,79,99,78,93
2259,0640201018,131,185,116,166
2260,0640201019,30,32,20,37
2261,0640201020,30,31,41,49
2262,0640202001,139,171,115,142
2263,0640202002,65,70,48,73
2264,0640202003,74,77,65,78
2265,0640202004,20,27,19,30
2266,0640202005,15,25,14,18
2267,0640202006,72,87,69,79
2268,0640202007,4,5,3,7
2269,0640202009,36,49,40,44
2270,0640202010,2,1,0,2
2271,0640202011,51,54,43,63
2272,0640202012,81,90,89,96
2273,0640202013,10,11,5,5
2274,0640202014,126,158,106,140
2275,0640202015,277,267,221,269
2276,0640202016,5,4,3,3
2277,0640202017,1,2,0,1
2278,0640202018,0,0,0,0
2279,0640203001,1,5,1,3
2280,0640203002,0,0,0,0
2281,0640203003,54,89,31,70
2282,0640203004,36,65,23,56
2283,0640203005,41,50,42,58
2284,0640203006,18,23,12,23
2285,0640203007,45,59,37,59
2286,0640203009,68,61,64,60
2287,0640203010,28,26,24,31
2288,0640203011,25,27,12,17
2289,0640203012,35,15,14,20
2290,0640203013,20,9,13,19
2291,0640204001,32,41,22,50
2292,0640204002,88,96,32,78
2293,0640204003,48,62,28,50
2294,0640204004,117,134,80,108
2295,0640204005,117,146,85,138
2296,0640205001,21,12,15,8
2297,0640205002,113,112,91,92
2298,0640205003,25,23,6,20
2299,0640205004,40,49,22,44
2300,0640205005,13,19,5,15
2301,0640205006,34,25,22,28
2302,0640205007,51,61,41,61
2303,0640205008,50,50,28,52
2304,0640205009,18,14,6,12
2305,0640205010,64,49,26,43
2306,0640205011,54,51,41,53
2307,0640205012,50,27,13,25
2308,0640205013,50,34,17,38
2309,0640205014,55,58,39,48
2310,0640205015,104,69,74,85
2311,0640206001,74,41,44,55
2312,0640207001,80,97,59,94
2313,0640207002,23,38,31,29
2314,0640207003,336,417,359,479
2315,0640207004,717,783,660,832
2316,0640207005,246,248,258,337
2317,0640207006,260,300,263,348
2318,0640301001,340,299,298,398
2319,0640301002,213,229,211,245
2320,0640301003,71,79,71,90
2321,0640301004,284,294,262,305
2322,0640301005,150,152,134,204
2323,0640301006,262,255,240,258
2324,0640301007,131,135,104,142
2325,0640301008,114,121,96,117
2326,0640301009,123,124,114,126
2327,0640301010,117,131,112,139
2328,0640301011,135,113,90,124
2329,0640301012,257,283,249,266
2330,0640301013,217,246,214,255
2331,0640301014,138,142,134,143
2332,0640301015,225,258,227,264
2333,0640301016,340,361,288,375
2334,0640301017,57,52,40,63
2335,0640301018,71,68,78,78
2336,0640301019,91,88,76,100
2337,0640301020,115,118,83,127
2338,0640301021,31,32,31,45
2339,0640301022,58,34,23,58
2340,0640301025,90,82,92,116
2341,0640301026,33,28,30,40
2342,0640301027,49,45,34,51
2343,0640301028,71,72,58,69
2344,0640301029,42,42,42,44
2345,0640301030,79,95,78,94
2346,0640302001,113,138,119,129
2347,0640302002,101,102,75,104
2348,0640302003,212,231,181,253
2349,0640302004,171,175,149,210
